Year,Country / territory of asylum/residence,Origin,Population type,Value
2011,South Africa,Solomon Islands,Refugees (incl. refugee-like situations),4
2011,South Africa,Solomon Islands,Asylum-seekers,1
2011,South Africa,Somalia,Refugees (incl. refugee-like situations),15186
2011,South Africa,Somalia,Asylum-seekers,5678
2011,South Africa,Sri Lanka,Asylum-seekers,11
2011,South Africa,Sudan,Refugees (incl. refugee-like situations),179
2011,South Africa,Sudan,Asylum-seekers,22
2011,South Africa,Swaziland,Asylum-seekers,79
2011,South Africa,Thailand,Asylum-seekers,12
2011,South Africa,Togo,Asylum-seekers,16
2011,South Africa,Tunisia,Asylum-seekers,3
2011,South Africa,Turkey,Asylum-seekers,2
2011,South Africa,Uganda,Refugees (incl. refugee-like situations),134
2011,South Africa,Uganda,Asylum-seekers,674
2011,South Africa,Ukraine,Asylum-seekers,1
2011,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),139
2011,South Africa,United Rep. of Tanzania,Asylum-seekers,311
2011,South Africa,Uzbekistan,Asylum-seekers,1
2011,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),11827
2011,South Africa,Various/Unknown,Asylum-seekers,156342
2011,South Africa,Viet Nam,Asylum-seekers,2
2011,South Africa,Yemen,Refugees (incl. refugee-like situations),3
2011,South Africa,Yemen,Asylum-seekers,2
2011,South Africa,Zambia,Refugees (incl. refugee-like situations),19
2011,South Africa,Zambia,Asylum-seekers,132
2011,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),1100
2011,South Africa,Zimbabwe,Asylum-seekers,35044
2012,South Africa,Afghanistan,Refugees (incl. refugee-like situations),20
2012,South Africa,Algeria,Asylum-seekers,73
2012,South Africa,Angola,Refugees (incl. refugee-like situations),5805
2012,South Africa,Angola,Asylum-seekers,31
2012,South Africa,Bahamas,Refugees (incl. refugee-like situations),1
2012,South Africa,Bahamas,Asylum-seekers,2
2012,South Africa,Bangladesh,Refugees (incl. refugee-like situations),146
2012,South Africa,Bangladesh,Asylum-seekers,4390
2012,South Africa,Benin,Asylum-seekers,24
2012,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2012,South Africa,Botswana,Asylum-seekers,5
2012,South Africa,Bulgaria,Asylum-seekers,5
2012,South Africa,Burkina Faso,Asylum-seekers,16
2012,South Africa,Burundi,Refugees (incl. refugee-like situations),2359
2012,South Africa,Burundi,Asylum-seekers,1459
2012,South Africa,Burundi,Returned refugees,13
2012,South Africa,Cameroon,Refugees (incl. refugee-like situations),135
2012,South Africa,Cameroon,Asylum-seekers,701
2012,South Africa,Central African Rep.,Asylum-seekers,3
2012,South Africa,Chad,Asylum-seekers,2
2012,South Africa,China,Asylum-seekers,1371
2012,South Africa,Colombia,Asylum-seekers,1
2012,South Africa,Comoros,Asylum-seekers,24
2012,South Africa,Congo,Refugees (incl. refugee-like situations),2336
2012,South Africa,Congo,Asylum-seekers,1110
2012,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),12
2012,South Africa,Cote d'Ivoire,Asylum-seekers,76
2012,South Africa,Cuba,Asylum-seekers,1
2012,South Africa,Czech Rep.,Asylum-seekers,1
2012,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),13386
2012,South Africa,Dem. Rep. of the Congo,Asylum-seekers,9788
2012,South Africa,Dem. Rep. of the Congo,Returned refugees,8
2012,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2012,South Africa,Egypt,Asylum-seekers,455
2012,South Africa,Eritrea,Refugees (incl. refugee-like situations),660
2012,South Africa,Eritrea,Asylum-seekers,33
2012,South Africa,Estonia,Refugees (incl. refugee-like situations),2
2012,South Africa,Estonia,Asylum-seekers,6
2012,South Africa,Ethiopia,Refugees (incl. refugee-like situations),5538
2012,South Africa,Ethiopia,Asylum-seekers,6219
2012,South Africa,Gabon,Asylum-seekers,12
2012,South Africa,Gambia,Asylum-seekers,5
2012,South Africa,Germany,Asylum-seekers,1
2012,South Africa,Ghana,Refugees (incl. refugee-like situations),10
2012,South Africa,Ghana,Asylum-seekers,1427
2012,South Africa,Guinea,Asylum-seekers,20
2012,South Africa,Haiti,Asylum-seekers,1
2012,South Africa,Iceland,Asylum-seekers,2
2012,South Africa,India,Refugees (incl. refugee-like situations),3
2012,South Africa,India,Asylum-seekers,1781
2012,South Africa,Iran (Islamic Rep. of),Asylum-seekers,6
2012,South Africa,Iraq,Refugees (incl. refugee-like situations),5
2012,South Africa,Iraq,Asylum-seekers,5
2012,South Africa,Ireland,Asylum-seekers,3
2012,South Africa,Jordan,Asylum-seekers,10
2012,South Africa,Kenya,Refugees (incl. refugee-like situations),53
2012,South Africa,Kenya,Asylum-seekers,267
2012,South Africa,Kuwait,Asylum-seekers,1
2012,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2012,South Africa,Lebanon,Asylum-seekers,2
2012,South Africa,Lesotho,Refugees (incl. refugee-like situations),2
2012,South Africa,Lesotho,Asylum-seekers,279
2012,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2012,South Africa,Liberia,Asylum-seekers,30
2012,South Africa,Libya,Asylum-seekers,7
2012,South Africa,Madagascar,Asylum-seekers,2
2012,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2012,South Africa,Malawi,Asylum-seekers,4343
2012,South Africa,Mali,Asylum-seekers,32
2012,South Africa,Mauritania,Asylum-seekers,1
2012,South Africa,Morocco,Refugees (incl. refugee-like situations),2
2012,South Africa,Morocco,Asylum-seekers,12
2012,South Africa,Mozambique,Asylum-seekers,850
2012,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2012,South Africa,Myanmar,Asylum-seekers,1
2012,South Africa,Namibia,Asylum-seekers,2
2012,South Africa,Nepal,Asylum-seekers,58
2012,South Africa,Niger,Asylum-seekers,8
2012,South Africa,Nigeria,Refugees (incl. refugee-like situations),34
2012,South Africa,Nigeria,Asylum-seekers,3456
2012,South Africa,Pakistan,Refugees (incl. refugee-like situations),38
2012,South Africa,Pakistan,Asylum-seekers,3087
2012,South Africa,Palau,Asylum-seekers,1
2012,South Africa,Palestinian,Refugees (incl. refugee-like situations),3
2012,South Africa,Palestinian,Asylum-seekers,3
2012,South Africa,Philippines,Asylum-seekers,3
2012,South Africa,Poland,Refugees (incl. refugee-like situations),5
2012,South Africa,Russian Federation,Asylum-seekers,1
2012,South Africa,Rwanda,Refugees (incl. refugee-like situations),1364
2012,South Africa,Rwanda,Asylum-seekers,311
2012,South Africa,Rwanda,Returned refugees,1
2012,South Africa,Saint Kitts and Nevis,Asylum-seekers,1
2012,South Africa,Sao Tome and Principe,Asylum-seekers,1
2012,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2012,South Africa,Senegal,Asylum-seekers,242
2012,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2012,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,5
2012,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),53
2012,South Africa,Solomon Islands,Refugees (incl. refugee-like situations),5
2012,South Africa,Solomon Islands,Asylum-seekers,4
2012,South Africa,Somalia,Refugees (incl. refugee-like situations),17864
2012,South Africa,Somalia,Asylum-seekers,5526
2012,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),1
2012,South Africa,Sri Lanka,Asylum-seekers,19
2012,South Africa,Sri Lanka,Returned refugees,1
2012,South Africa,Sudan,Refugees (incl. refugee-like situations),182
2012,South Africa,Sudan,Asylum-seekers,36
2012,South Africa,Swaziland,Refugees (incl. refugee-like situations),1
2012,South Africa,Swaziland,Asylum-seekers,90
2012,South Africa,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2012,South Africa,Syrian Arab Rep.,Asylum-seekers,8
2012,South Africa,Thailand,Asylum-seekers,12
2012,South Africa,The former Yugoslav Republic of Macedonia,Asylum-seekers,1
2012,South Africa,Togo,Asylum-seekers,22
2012,South Africa,Tunisia,Asylum-seekers,3
2012,South Africa,Turkey,Asylum-seekers,5
2012,South Africa,Uganda,Refugees (incl. refugee-like situations),141
2012,South Africa,Uganda,Asylum-seekers,1454
2012,South Africa,Ukraine,Asylum-seekers,2
2012,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),140
2012,South Africa,United Rep. of Tanzania,Asylum-seekers,574
2012,South Africa,Uzbekistan,Asylum-seekers,1
2012,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),13503
2012,South Africa,Various/Unknown,Asylum-seekers,140027
2012,South Africa,Viet Nam,Asylum-seekers,2
2012,South Africa,Yemen,Refugees (incl. refugee-like situations),3
2012,South Africa,Yemen,Asylum-seekers,4
2012,South Africa,Zambia,Refugees (incl. refugee-like situations),17
2012,South Africa,Zambia,Asylum-seekers,202
2012,South Africa,Zambia,Returned refugees,2
2012,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),1095
2012,South Africa,Zimbabwe,Asylum-seekers,40375
2013,South Africa,Afghanistan,Refugees (incl. refugee-like situations),20
2013,South Africa,Afghanistan,Asylum-seekers,1
2013,South Africa,Algeria,Asylum-seekers,112
2013,South Africa,Angola,Asylum-seekers,44
2013,South Africa,Angola,Returned refugees,35
2013,South Africa,Bahamas,Refugees (incl. refugee-like situations),1
2013,South Africa,Bahamas,Asylum-seekers,2
2013,South Africa,Bangladesh,Refugees (incl. refugee-like situations),150
2013,South Africa,Bangladesh,Asylum-seekers,5214
2013,South Africa,Benin,Asylum-seekers,26
2013,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2013,South Africa,Botswana,Asylum-seekers,6
2013,South Africa,Bulgaria,Asylum-seekers,4
2013,South Africa,Burkina Faso,Asylum-seekers,18
2013,South Africa,Burundi,Refugees (incl. refugee-like situations),2330
2013,South Africa,Burundi,Asylum-seekers,1539
2013,South Africa,Burundi,Returned refugees,31
2013,South Africa,Cameroon,Refugees (incl. refugee-like situations),138
2013,South Africa,Cameroon,Asylum-seekers,679
2013,South Africa,Central African Rep.,Refugees (incl. refugee-like situations),2
2013,South Africa,Central African Rep.,Asylum-seekers,1
2013,South Africa,Chad,Asylum-seekers,1
2013,South Africa,China,Asylum-seekers,1556
2013,South Africa,"China, Macao SAR",Asylum-seekers,1
2013,South Africa,Colombia,Asylum-seekers,2
2013,South Africa,Comoros,Asylum-seekers,23
2013,South Africa,Congo,Refugees (incl. refugee-like situations),2646
2013,South Africa,Congo,Asylum-seekers,914
2013,South Africa,Congo,Returned refugees,7
2013,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),2
2013,South Africa,Cote d'Ivoire,Asylum-seekers,104
2013,South Africa,Cote d'Ivoire,Returned refugees,1
2013,South Africa,Cuba,Asylum-seekers,1
2013,South Africa,Czech Rep.,Asylum-seekers,1
2013,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),14414
2013,South Africa,Dem. Rep. of the Congo,Asylum-seekers,11514
2013,South Africa,Dem. Rep. of the Congo,Returned refugees,12
2013,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2013,South Africa,Egypt,Asylum-seekers,523
2013,South Africa,El Salvador,Asylum-seekers,1
2013,South Africa,Eritrea,Refugees (incl. refugee-like situations),822
2013,South Africa,Eritrea,Asylum-seekers,87
2013,South Africa,Estonia,Refugees (incl. refugee-like situations),2
2013,South Africa,Estonia,Asylum-seekers,7
2013,South Africa,Ethiopia,Refugees (incl. refugee-like situations),7582
2013,South Africa,Ethiopia,Asylum-seekers,7663
2013,South Africa,Gabon,Asylum-seekers,10
2013,South Africa,Gambia,Asylum-seekers,5
2013,South Africa,Germany,Asylum-seekers,1
2013,South Africa,Ghana,Refugees (incl. refugee-like situations),10
2013,South Africa,Ghana,Asylum-seekers,1618
2013,South Africa,Guinea,Asylum-seekers,20
2013,South Africa,Guinea-Bissau,Asylum-seekers,1
2013,South Africa,Haiti,Asylum-seekers,1
2013,South Africa,Iceland,Asylum-seekers,3
2013,South Africa,India,Refugees (incl. refugee-like situations),3
2013,South Africa,India,Asylum-seekers,2582
2013,South Africa,Indonesia,Asylum-seekers,1
2013,South Africa,Iran (Islamic Rep. of),Asylum-seekers,4
2013,South Africa,Iraq,Refugees (incl. refugee-like situations),5
2013,South Africa,Iraq,Asylum-seekers,11
2013,South Africa,Ireland,Asylum-seekers,3
2013,South Africa,Jordan,Asylum-seekers,9
2013,South Africa,Kenya,Refugees (incl. refugee-like situations),53
2013,South Africa,Kenya,Asylum-seekers,342
2013,South Africa,Kuwait,Asylum-seekers,1
2013,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2013,South Africa,Lebanon,Asylum-seekers,2
2013,South Africa,Lesotho,Refugees (incl. refugee-like situations),2
2013,South Africa,Lesotho,Asylum-seekers,676
2013,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2013,South Africa,Liberia,Asylum-seekers,40
2013,South Africa,Libya,Asylum-seekers,9
2013,South Africa,Madagascar,Asylum-seekers,2
2013,South Africa,Malawi,Refugees (incl. refugee-like situations),12
2013,South Africa,Malawi,Asylum-seekers,4017
2013,South Africa,Mali,Refugees (incl. refugee-like situations),4
2013,South Africa,Mali,Asylum-seekers,42
2013,South Africa,Mauritania,Asylum-seekers,1
2013,South Africa,Morocco,Refugees (incl. refugee-like situations),2
2013,South Africa,Morocco,Asylum-seekers,12
2013,South Africa,Mozambique,Asylum-seekers,1416
2013,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2013,South Africa,Myanmar,Asylum-seekers,1
2013,South Africa,Namibia,Asylum-seekers,2
2013,South Africa,Nepal,Asylum-seekers,78
2013,South Africa,Niger,Asylum-seekers,10
2013,South Africa,Nigeria,Refugees (incl. refugee-like situations),34
2013,South Africa,Nigeria,Asylum-seekers,4542
2013,South Africa,Pakistan,Refugees (incl. refugee-like situations),38
2013,South Africa,Pakistan,Asylum-seekers,4515
2013,South Africa,Palau,Asylum-seekers,1
2013,South Africa,Palestinian,Refugees (incl. refugee-like situations),6
2013,South Africa,Palestinian,Asylum-seekers,1
2013,South Africa,Philippines,Asylum-seekers,6
2013,South Africa,Poland,Refugees (incl. refugee-like situations),5
2013,South Africa,Russian Federation,Asylum-seekers,1
2013,South Africa,Rwanda,Refugees (incl. refugee-like situations),1366
2013,South Africa,Rwanda,Asylum-seekers,294
2013,South Africa,Rwanda,Returned refugees,1
2013,South Africa,Saint Kitts and Nevis,Refugees (incl. refugee-like situations),1
2013,South Africa,Samoa,Asylum-seekers,2
2013,South Africa,Sao Tome and Principe,Asylum-seekers,1
2013,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2013,South Africa,Senegal,Asylum-seekers,303
2013,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2013,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,6
2013,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),53
2013,South Africa,Sierra Leone,Asylum-seekers,4
2013,South Africa,Solomon Islands,Refugees (incl. refugee-like situations),6
2013,South Africa,Solomon Islands,Asylum-seekers,3
2013,South Africa,Somalia,Refugees (incl. refugee-like situations),20818
2013,South Africa,Somalia,Asylum-seekers,3665
2013,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),4
2013,South Africa,Sri Lanka,Asylum-seekers,18
2013,South Africa,Sudan,Refugees (incl. refugee-like situations),181
2013,South Africa,Sudan,Asylum-seekers,45
2013,South Africa,Swaziland,Refugees (incl. refugee-like situations),2
2013,South Africa,Swaziland,Asylum-seekers,99
2013,South Africa,Syrian Arab Rep.,Refugees (incl. refugee-like situations),8
2013,South Africa,Syrian Arab Rep.,Asylum-seekers,11
2013,South Africa,Thailand,Asylum-seekers,13
2013,South Africa,The former Yugoslav Republic of Macedonia,Asylum-seekers,1
2013,South Africa,Togo,Asylum-seekers,28
2013,South Africa,Tunisia,Asylum-seekers,3
2013,South Africa,Turkey,Asylum-seekers,5
2013,South Africa,Tuvalu,Asylum-seekers,1
2013,South Africa,Uganda,Refugees (incl. refugee-like situations),146
2013,South Africa,Uganda,Asylum-seekers,1641
2013,South Africa,Ukraine,Asylum-seekers,3
2013,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),141
2013,South Africa,United Rep. of Tanzania,Asylum-seekers,656
2013,South Africa,Uzbekistan,Asylum-seekers,1
2013,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),13503
2013,South Africa,Various/Unknown,Asylum-seekers,139687
2013,South Africa,Viet Nam,Asylum-seekers,2
2013,South Africa,Yemen,Refugees (incl. refugee-like situations),3
2013,South Africa,Yemen,Asylum-seekers,3
2013,South Africa,Zambia,Refugees (incl. refugee-like situations),18
2013,South Africa,Zambia,Asylum-seekers,222
2013,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),1158
2013,South Africa,Zimbabwe,Asylum-seekers,40523
2014,South Africa,Afghanistan,Refugees (incl. refugee-like situations),10
2014,South Africa,Afghanistan,Asylum-seekers,6
2014,South Africa,Algeria,Refugees (incl. refugee-like situations),4
2014,South Africa,Algeria,Asylum-seekers,153
2014,South Africa,Andorra,Refugees (incl. refugee-like situations),2
2014,South Africa,Angola,Asylum-seekers,45
2014,South Africa,Anguilla,Refugees (incl. refugee-like situations),1
2014,South Africa,Bahamas,Refugees (incl. refugee-like situations),3
2014,South Africa,Bahamas,Asylum-seekers,2
2014,South Africa,Bangladesh,Refugees (incl. refugee-like situations),849
2014,South Africa,Bangladesh,Asylum-seekers,5051
2014,South Africa,Benin,Refugees (incl. refugee-like situations),1
2014,South Africa,Benin,Asylum-seekers,32
2014,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),1
2014,South Africa,Botswana,Asylum-seekers,17
2014,South Africa,Brazil,Refugees (incl. refugee-like situations),1
2014,South Africa,Bulgaria,Refugees (incl. refugee-like situations),5
2014,South Africa,Bulgaria,Asylum-seekers,4
2014,South Africa,Burkina Faso,Asylum-seekers,20
2014,South Africa,Burundi,Refugees (incl. refugee-like situations),3653
2014,South Africa,Burundi,Asylum-seekers,1358
2014,South Africa,Burundi,Returned refugees,7
2014,South Africa,Cambodia,Refugees (incl. refugee-like situations),1
2014,South Africa,Cameroon,Refugees (incl. refugee-like situations),525
2014,South Africa,Cameroon,Asylum-seekers,559
2014,South Africa,Central African Rep.,Refugees (incl. refugee-like situations),8
2014,South Africa,Central African Rep.,Asylum-seekers,7
2014,South Africa,Chad,Refugees (incl. refugee-like situations),6
2014,South Africa,China,Refugees (incl. refugee-like situations),7
2014,South Africa,China,Asylum-seekers,1526
2014,South Africa,"China, Macao SAR",Refugees (incl. refugee-like situations),4
2014,South Africa,"China, Macao SAR",Asylum-seekers,1
2014,South Africa,Colombia,Refugees (incl. refugee-like situations),1
2014,South Africa,Colombia,Asylum-seekers,2
2014,South Africa,Comoros,Refugees (incl. refugee-like situations),5
2014,South Africa,Comoros,Asylum-seekers,19
2014,South Africa,Congo,Refugees (incl. refugee-like situations),6035
2014,South Africa,Congo,Asylum-seekers,807
2014,South Africa,Congo,Returned refugees,5
2014,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),48
2014,South Africa,Cote d'Ivoire,Asylum-seekers,110
2014,South Africa,Cuba,Asylum-seekers,1
2014,South Africa,Czech Rep.,Asylum-seekers,3
2014,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30125
2014,South Africa,Dem. Rep. of the Congo,Asylum-seekers,12172
2014,South Africa,Djibouti,Refugees (incl. refugee-like situations),1
2014,South Africa,Egypt,Refugees (incl. refugee-like situations),4
2014,South Africa,Egypt,Asylum-seekers,591
2014,South Africa,El Salvador,Asylum-seekers,1
2014,South Africa,Eritrea,Refugees (incl. refugee-like situations),2219
2014,South Africa,Eritrea,Asylum-seekers,304
2014,South Africa,Estonia,Refugees (incl. refugee-like situations),6
2014,South Africa,Estonia,Asylum-seekers,7
2014,South Africa,Ethiopia,Refugees (incl. refugee-like situations),18830
2014,South Africa,Ethiopia,Asylum-seekers,13383
2014,South Africa,France,Refugees (incl. refugee-like situations),2
2014,South Africa,Gabon,Refugees (incl. refugee-like situations),2
2014,South Africa,Gabon,Asylum-seekers,6
2014,South Africa,Gambia,Asylum-seekers,9
2014,South Africa,Germany,Asylum-seekers,1
2014,South Africa,Ghana,Refugees (incl. refugee-like situations),16
2014,South Africa,Ghana,Asylum-seekers,1650
2014,South Africa,Guinea,Refugees (incl. refugee-like situations),1
2014,South Africa,Guinea,Asylum-seekers,26
2014,South Africa,Guinea-Bissau,Refugees (incl. refugee-like situations),1
2014,South Africa,Guinea-Bissau,Asylum-seekers,1
2014,South Africa,Haiti,Asylum-seekers,1
2014,South Africa,Iceland,Asylum-seekers,3
2014,South Africa,India,Refugees (incl. refugee-like situations),12
2014,South Africa,India,Asylum-seekers,3343
2014,South Africa,Indonesia,Asylum-seekers,1
2014,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),3
2014,South Africa,Iran (Islamic Rep. of),Asylum-seekers,4
2014,South Africa,Iraq,Refugees (incl. refugee-like situations),26
2014,South Africa,Iraq,Asylum-seekers,11
2014,South Africa,Iraq,Returned refugees,26
2014,South Africa,Ireland,Refugees (incl. refugee-like situations),1
2014,South Africa,Ireland,Asylum-seekers,3
2014,South Africa,Israel,Asylum-seekers,1
2014,South Africa,Italy,Refugees (incl. refugee-like situations),1
2014,South Africa,Japan,Refugees (incl. refugee-like situations),1
2014,South Africa,Jordan,Refugees (incl. refugee-like situations),2
2014,South Africa,Jordan,Asylum-seekers,7
2014,South Africa,Kenya,Refugees (incl. refugee-like situations),199
2014,South Africa,Kenya,Asylum-seekers,409
2014,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),6
2014,South Africa,Lebanon,Refugees (incl. refugee-like situations),3
2014,South Africa,Lebanon,Asylum-seekers,2
2014,South Africa,Lesotho,Refugees (incl. refugee-like situations),3
2014,South Africa,Lesotho,Asylum-seekers,652
2014,South Africa,Liberia,Refugees (incl. refugee-like situations),85
2014,South Africa,Liberia,Asylum-seekers,43
2014,South Africa,Libya,Refugees (incl. refugee-like situations),1
2014,South Africa,Libya,Asylum-seekers,9
2014,South Africa,Madagascar,Asylum-seekers,4
2014,South Africa,Malawi,Refugees (incl. refugee-like situations),23
2014,South Africa,Malawi,Asylum-seekers,3583
2014,South Africa,Mali,Refugees (incl. refugee-like situations),6
2014,South Africa,Mali,Asylum-seekers,61
2014,South Africa,Mauritania,Asylum-seekers,1
2014,South Africa,Morocco,Refugees (incl. refugee-like situations),6
2014,South Africa,Morocco,Asylum-seekers,7
2014,South Africa,Mozambique,Refugees (incl. refugee-like situations),3
2014,South Africa,Mozambique,Asylum-seekers,1369
2014,South Africa,Myanmar,Refugees (incl. refugee-like situations),3
2014,South Africa,Myanmar,Asylum-seekers,1
2014,South Africa,Namibia,Refugees (incl. refugee-like situations),4
2014,South Africa,Namibia,Asylum-seekers,2
2014,South Africa,Nepal,Asylum-seekers,86
2014,South Africa,Niger,Refugees (incl. refugee-like situations),5
2014,South Africa,Niger,Asylum-seekers,11
2014,South Africa,Nigeria,Refugees (incl. refugee-like situations),17
2014,South Africa,Nigeria,Asylum-seekers,5154
2014,South Africa,Norfolk Island,Refugees (incl. refugee-like situations),1
2014,South Africa,Oman,Refugees (incl. refugee-like situations),3
2014,South Africa,Pakistan,Refugees (incl. refugee-like situations),37
2014,South Africa,Pakistan,Asylum-seekers,5489
2014,South Africa,Palau,Asylum-seekers,1
2014,South Africa,Palestinian,Refugees (incl. refugee-like situations),32
2014,South Africa,Philippines,Asylum-seekers,6
2014,South Africa,Poland,Refugees (incl. refugee-like situations),1
2014,South Africa,Russian Federation,Refugees (incl. refugee-like situations),13
2014,South Africa,Russian Federation,Asylum-seekers,1
2014,South Africa,Rwanda,Refugees (incl. refugee-like situations),1814
2014,South Africa,Rwanda,Asylum-seekers,238
2014,South Africa,Rwanda,Returned refugees,1
2014,South Africa,Saint Kitts and Nevis,Refugees (incl. refugee-like situations),2
2014,South Africa,Saint Kitts and Nevis,Asylum-seekers,1
2014,South Africa,Samoa,Asylum-seekers,2
2014,South Africa,Senegal,Refugees (incl. refugee-like situations),4
2014,South Africa,Senegal,Asylum-seekers,436
2014,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),2
2014,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,6
2014,South Africa,Seychelles,Refugees (incl. refugee-like situations),3
2014,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),31
2014,South Africa,Sierra Leone,Asylum-seekers,6
2014,South Africa,Solomon Islands,Refugees (incl. refugee-like situations),12
2014,South Africa,Solomon Islands,Asylum-seekers,4
2014,South Africa,Somalia,Refugees (incl. refugee-like situations),40133
2014,South Africa,Somalia,Asylum-seekers,3360
2014,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),15
2014,South Africa,Sri Lanka,Asylum-seekers,15
2014,South Africa,Sudan,Refugees (incl. refugee-like situations),183
2014,South Africa,Sudan,Asylum-seekers,50
2014,South Africa,Swaziland,Refugees (incl. refugee-like situations),12
2014,South Africa,Swaziland,Asylum-seekers,98
2014,South Africa,Sweden,Refugees (incl. refugee-like situations),1
2014,South Africa,Syrian Arab Rep.,Refugees (incl. refugee-like situations),28
2014,South Africa,Syrian Arab Rep.,Asylum-seekers,37
2014,South Africa,Thailand,Asylum-seekers,14
2014,South Africa,The former Yugoslav Republic of Macedonia,Asylum-seekers,1
2014,South Africa,Timor-Leste,Refugees (incl. refugee-like situations),1
2014,South Africa,Timor-Leste,Asylum-seekers,1
2014,South Africa,Togo,Refugees (incl. refugee-like situations),8
2014,South Africa,Togo,Asylum-seekers,24
2014,South Africa,Tunisia,Asylum-seekers,4
2014,South Africa,Turkey,Refugees (incl. refugee-like situations),4
2014,South Africa,Turkey,Asylum-seekers,3
2014,South Africa,Tuvalu,Asylum-seekers,1
2014,South Africa,Uganda,Refugees (incl. refugee-like situations),696
2014,South Africa,Uganda,Asylum-seekers,1762
2014,South Africa,Ukraine,Refugees (incl. refugee-like situations),8
2014,South Africa,Ukraine,Asylum-seekers,6
2014,South Africa,United Kingdom,Refugees (incl. refugee-like situations),1
2014,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),50
2014,South Africa,United Rep. of Tanzania,Asylum-seekers,650
2014,South Africa,Uzbekistan,Asylum-seekers,1
2014,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),6
2014,South Africa,Various/Unknown,Asylum-seekers,358056
2014,South Africa,Viet Nam,Asylum-seekers,2
2014,South Africa,Wallis and Futuna Islands ,Asylum-seekers,1
2014,South Africa,Yemen,Refugees (incl. refugee-like situations),2
2014,South Africa,Yemen,Asylum-seekers,3
2014,South Africa,Zambia,Refugees (incl. refugee-like situations),85
2014,South Africa,Zambia,Asylum-seekers,196
2014,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),6217
2014,South Africa,Zimbabwe,Asylum-seekers,40823
2015,South Africa,Afghanistan,Refugees (incl. refugee-like situations),10
2015,South Africa,Afghanistan,Asylum-seekers,5
2015,South Africa,Albania,Asylum-seekers,1
2015,South Africa,Algeria,Refugees (incl. refugee-like situations),4
2015,South Africa,Algeria,Asylum-seekers,242
2015,South Africa,Andorra,Refugees (incl. refugee-like situations),2
2015,South Africa,Angola,Refugees (incl. refugee-like situations),3042
2015,South Africa,Angola,Asylum-seekers,220
2015,South Africa,Anguilla,Refugees (incl. refugee-like situations),1
2015,South Africa,Bahamas,Refugees (incl. refugee-like situations),3
2015,South Africa,Bahamas,Asylum-seekers,3
2015,South Africa,Bangladesh,Refugees (incl. refugee-like situations),861
2015,South Africa,Bangladesh,Asylum-seekers,9340
2015,South Africa,Belarus,Asylum-seekers,1
